A,B,C,Run,T,c_centro,c_cna,c_q4,c_q6,c_q8,c_q10,c_q12
50,200,750,7,4.0,1.1423482779999998,0.001,0.1655716827,0.348869914,0.302341925,0.2534156469999999,0.283989988
50,200,750,7,2.25,1.092508395,0.002,0.1555294876,0.3681680559999999,0.288822621,0.246649511,0.291258782
50,200,750,7,1.565,1.022649664,0.004,0.1479225162,0.386134203,0.278954155,0.239720519,0.297982351
50,200,750,7,1.2,1.017474276,0.004,0.1418630604,0.393943074,0.2747732189999999,0.234110609,0.30525195
50,200,750,7,0.973,0.979518452,0.006,0.1375470703,0.40470985,0.267031432,0.23134797,0.313232435
50,200,750,7,0.818,0.97480351,0.007,0.1343606247,0.408058638,0.263321673,0.230335929,0.315203623
50,200,750,7,0.706,0.951110535,0.015,0.1324368379,0.413441539,0.2626596929999999,0.2259384039999999,0.319170328
50,200,750,7,0.621,0.6846292484000001,0.692,0.1258731957,0.4793881339999999,0.3341941289999999,0.2114376184,0.351399659
50,200,750,8,4.0,1.158499707,0.0,0.167306826,0.342803247,0.3080800449999999,0.253061357,0.282776734
50,200,750,8,2.25,1.091620935,0.001,0.1551942556999999,0.369331346,0.290047218,0.244059542,0.292694767
50,200,750,8,1.565,1.028681355,0.0,0.1493951993,0.385512191,0.283785261,0.238065113,0.300204447
50,200,750,8,1.2,0.996778805,0.001,0.1425539818,0.398322792,0.272933717,0.23280893,0.310128837
50,200,750,8,0.973,1.012808928,0.006,0.1389082346999999,0.397819249,0.270017961,0.2336053599999999,0.306554829
50,200,750,8,0.818,0.9739811339,0.007,0.1345573037,0.408765744,0.2609645179,0.230332693,0.3164132
50,200,750,8,0.706,0.935339933,0.013,0.1326715509,0.416842123,0.256680024,0.227567516,0.318284011
50,200,750,8,0.621,0.64284506,0.749,0.1287123931,0.484730662,0.3368944659999999,0.212284844,0.35476379
50,200,750,9,4.0,1.154597374,0.0,0.1667840253999999,0.346261301,0.304033493,0.256096764,0.281363671
50,200,750,9,2.25,1.084903194,0.002,0.1533960326,0.36982717,0.291353748,0.243263689,0.292913614
50,200,750,9,1.565,1.053742874,0.003,0.1463707788,0.382697899,0.282905802,0.238733847,0.299000298
50,200,750,9,1.2,1.008907059,0.0,0.1417043975,0.395300601,0.273532568,0.235816533,0.304551248
50,200,750,9,0.973,1.001519975,0.003,0.1369767435,0.401111836,0.269011459,0.2326535059999999,0.310932711
50,200,750,9,0.818,0.96848271,0.008,0.1336033637,0.408982503,0.2633223329999999,0.230866105,0.310846367
50,200,750,9,0.706,0.95712197,0.01,0.1313159884,0.413010061,0.259409441,0.2255797209999999,0.318461119
50,200,750,9,0.621,0.5173595259,0.708,0.1483185937,0.495175104,0.3389527499999999,0.1795736341,0.399057106
50,200,750,10,4.0,1.147983991,0.0,0.1665061587,0.347072765,0.300637842,0.253373669,0.2833622229999999
50,200,750,10,2.25,1.101363284,0.0,0.1538946258,0.36739788,0.294045368,0.243562987,0.29147321
50,200,750,10,1.565,1.045191786,0.002,0.1466051324999999,0.38370779,0.282262472,0.238848077,0.298969147
50,200,750,10,1.2,1.015397128,0.003,0.1419704329,0.394321465,0.275778218,0.238003839,0.30278604
50,200,750,10,0.973,0.993405977,0.005,0.1375964439999999,0.400999611,0.269525949,0.2308217089999999,0.311807784
50,200,750,10,0.818,0.9820397206,0.01,0.1346774869,0.4064152889999999,0.263455691,0.230223502,0.315748687
50,200,750,10,0.706,0.960297923,0.008,0.131405246,0.412358494,0.2562927809999999,0.228033018,0.3168267629999999
50,200,750,10,0.621,0.933742311,0.016,0.130348513,0.418200601,0.255608417,0.226946543,0.321414582
50,250,700,1,4.0,1.129966039,0.0,0.1675156702,0.346892462,0.3048097669999999,0.255767468,0.2802803769999999
50,250,700,1,2.25,1.091821173,0.0,0.1562191369,0.365490365,0.2932535209999999,0.247521978,0.289665798
50,250,700,1,1.565,1.0359721730000002,0.001,0.1464443711,0.3834825879999999,0.28135013,0.2404751849999999,0.2991838689999999
50,250,700,1,1.2,1.014998823,0.003,0.1424293438,0.3902860569999999,0.276324409,0.235136423,0.302475371
50,250,700,1,0.973,0.972804709,0.005,0.1371504995,0.404163311,0.26488112,0.235547196,0.3096088019999999
50,250,700,1,0.818,0.957584312,0.006,0.1333925193,0.408685953,0.265911444,0.229367455,0.314395591
50,250,700,1,0.706,0.93908442,0.016,0.1315374018,0.413610168,0.259909563,0.2275342769999999,0.316978281
50,250,700,1,0.621,0.9431395359,0.015,0.1310809714,0.415074621,0.2552378381,0.230865126,0.3151439729999999
50,250,700,2,4.0,1.144645856,0.001,0.1646551296,0.347105163,0.303848509,0.254382249,0.28252974
50,250,700,2,2.25,1.0771816480000005,0.002,0.1554600021,0.368028271,0.293234574,0.246716701,0.290329092
